,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,순,국가,고객,견적번호,RFQ no.,견적일,유효일,Item,구분,수량,가능등급,견적금액(외화),견적금액(KRW),AB 등급,CD등급,수주금액 (전체),수주금액 (2024년),수주금액 (2025년),원가,비고
,1,한국,지아이씨,CSP24-0409-1,,240409,240930,,"PAB, EID, PSR, ETND, EDD생산",,A,,423083700,423083700,,423083700,423083700,,,
,2,한국,지아이씨,CSP24-0409-2,,240409,240412,,Board수리,,A,,3942000,3942000,,3942000,3942000,,,
,3,한국,지아이씨,CSP24-0524-1,,240524,250227,,"MOP, MSR, CTM생산",,A,,350710750,350710750,,350710750,,350710750,,
,4,한국,지아이씨,CSP24-0524-2,,240524,240726,,PSR-Hub외 9종생산,,A,,197810000,197810000,,197810000,197810000,,,
,5,한국,지아이씨,CSP24-0913-1,,240913,250131,,MSR NVR외 11종,,A,,351015169,351015169,,351015169,351015169,,,
,6,한국,지아이씨,CSP24-0923-1,,240923,241231,1,MSR PWR BOARD. FOR MSR.,10,A,,2917600,2917600,,2917600,2917600,,,
,,,,,,,241231,2,LCD CONTROL BOARD. FOR MOP.,10,A,,8188800,8188800,,8188800,8188800,,,
,,,,,,,241231,3,MAIN CONTROL BOARD. FOR MOP.,20,A,,18768200,18768200,,18768200,18768200,,,
,,,,,,,241231,4,POWER BOARD. FOR MOP.,10,A,,1874500,1874500,,1874500,1874500,,,
,,,,,,,241231,5,POWER BOARD. FOR CTM.,10,A,,2244800,2244800,,2244800,2244800,,,
,,,,,,,241231,6,MSR HUB BOARD. FOR MSR.,10,A,,9368300,9368300,,9368300,9368300,,,
,,,,,,,241231,7,MSR MTX BOARD. FOR MSR.,10,A,,10352200,10352200,,10352200,10352200,,,
,,,,,,,250430,8,MSR NVR BOARD. FOR MSR.,10,A,,32336800,32336800,,32336800,,32336800,,
,,,,,,,241231,9,MSR TCIU BOARD. FOR MSR.,10,A,,20586000,20586000,,20586000,20586000,,,
,,,,,,,250430,10,PSR HUB BOARD FOR PSR.,10,A,,9375000,9375000,,9375000,,9375000,,
,,,,,,,241231,11,CONTROL BOARD. FOR CTM.,20,A,,45705600,45705600,,45705600,45705600,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Sub-Amount,,,,,,,,,,0,1488279419,1488279419,,1488279419,1095856869,392422550,0,
